"ActivityID" "SubjectID" "TrainMean" "TrainSD" "TestMean" "TestSD" "Activity"
1 1 3781.07368421053 NA NA NA "WALKING"
1 16 3475.49019607843 NA NA NA "WALKING"
1 14 3148.71186440678 NA NA NA "WALKING"
1 26 3573.76271186441 NA NA NA "WALKING"
1 23 3277.98305084746 NA NA NA "WALKING"
1 6 3902.0701754386 NA NA NA "WALKING"
1 3 3335.39655172414 NA NA NA "WALKING"
1 17 3333.90163934426 NA NA NA "WALKING"
1 15 3621.18518518519 NA NA NA "WALKING"
1 27 3494.84210526316 NA NA NA "WALKING"
1 25 3976.95945945946 NA NA NA "WALKING"
1 7 3639.36842105263 NA NA NA "WALKING"
1 5 3648.35714285714 NA NA NA "WALKING"
1 19 3590.40384615385 NA NA NA "WALKING"
1 30 3435.43076923077 NA NA NA "WALKING"
1 28 3783.22222222222 NA NA NA "WALKING"
1 8 3662.4375 NA NA NA "WALKING"
1 21 3722.94230769231 NA NA NA "WALKING"
1 29 3569.37735849057 NA NA NA "WALKING"
1 11 3217.89830508475 NA NA NA "WALKING"
1 22 3957.9347826087 NA NA NA "WALKING"
2 14 3521.05555555556 NA NA NA "WALKING_UPSTAIRS"
2 23 2885.88235294118 NA NA NA "WALKING_UPSTAIRS"
2 3 3558.83050847458 NA NA NA "WALKING_UPSTAIRS"
2 15 3416.89583333333 NA NA NA "WALKING_UPSTAIRS"
2 25 3842.72307692308 NA NA NA "WALKING_UPSTAIRS"
2 5 3626 NA NA NA "WALKING_UPSTAIRS"
2 1 2713.2641509434 NA NA NA "WALKING_UPSTAIRS"
2 16 3613.54901960784 NA NA NA "WALKING_UPSTAIRS"
2 28 3204.74509803922 NA NA NA "WALKING_UPSTAIRS"
2 26 3230.32727272727 NA NA NA "WALKING_UPSTAIRS"
2 8 3170.60975609756 NA NA NA "WALKING_UPSTAIRS"
2 6 3243.47058823529 NA NA NA "WALKING_UPSTAIRS"
2 21 3613.1914893617 NA NA NA "WALKING_UPSTAIRS"
2 17 3220.60416666667 NA NA NA "WALKING_UPSTAIRS"
2 29 3396.26530612245 NA NA NA "WALKING_UPSTAIRS"
