"","X","CountryName","CountryCode","Year","Percentage"
"1",1,"Afghanistan","AFG",2000,3.42580653261
"2",2,"Albania","ALB",2000,-0.637356833943492
"3",3,"Algeria","DZA",2000,1.34660821887444
"4",4,"American Samoa","ASM",2000,1.31946966358002
"5",5,"Andorra","ADO",2000,1.91114183546633
"6",6,"Angola","AGO",2000,3.07944386258132
"7",7,"Antigua and Barbuda","ATG",2000,2.09131241559332
"8",8,"Arab League states","ARB",2000,2.12841299590798
"9",9,"Argentina","ARG",2000,1.11091620450466
"10",10,"Armenia","ARM",2000,-0.574466264775964
"11",11,"Aruba","ABW",2000,2.06165356601521
"12",12,"Australia","AUS",2000,1.19227232344832
"13",13,"Austria","AUT",2000,0.240466652446524
"14",14,"Azerbaijan","AZE",2000,0.821519963674211
"15",15,"Bahamas, The","BHS",2000,1.46047234373514
"16",16,"Bahrain","BHR",2000,3.96929512643766
"17",17,"Bangladesh","BGD",2000,1.94944844034694
"18",18,"Barbados","BRB",2000,0.340784132550649
"19",19,"Belarus","BLR",2000,-0.299401421260478
"20",20,"Belgium","BEL",2000,0.242517956221334
"21",21,"Belize","BLZ",2000,3.40867321100014
"22",22,"Benin","BEN",2000,3.05176614584761
"23",23,"Bermuda","BMU",2000,0.894182915884811
"24",24,"Bhutan","BTN",2000,2.84045147451796
"25",25,"Bolivia","BOL",2000,1.89813098774175
"26",26,"Bosnia and Herzegovina","BIH",2000,0.22406505014526
"27",27,"Botswana","BWA",2000,1.63785571431712
"28",28,"Brazil","BRA",2000,1.50938769771266
"29",29,"Brunei","BRN",2000,2.0606934279725
"30",30,"Bulgaria","BGR",2000,-0.493896416633318
"31",31,"Burkina Faso","BFA",2000,2.83911050932428
"32",32,"Burundi","BDI",2000,2.1413461824972
"33",33,"Cambodia","KHM",2000,2.23499846250207
"34",34,"Cameroon","CMR",2000,2.63016560567152
"35",35,"Canada","CAN",2000,0.882998576899551
"36",36,"Cape Verde","CPV",2000,2.11014689991713
"37",37,"Caribbean small states","CSS",2000,0.671118329874545
"38",38,"Cayman Islands","CYM",2000,4.60232148503509
"39",39,"Central African Republic","CAF",2000,1.9714548574034
"40",40,"Central Europe and the Baltics","CEB",2000,-0.629930152082551
"41",41,"Chad","TCD",2000,3.66948744658657
"42",42,"Channel Islands","CHI",2000,0.703764961589731
"43",43,"Chile","CHL",2000,1.25970165983212
"44",44,"China","CHN",2000,0.787956592953992
"45",45,"Colombia","COL",2000,1.45765832224384
"46",46,"Comoros","COM",2000,2.54949760413901
"47",47,"Congo","COG",2000,2.5175406878016
"48",48,"Congo, Dem. Rep.","ZAR",2000,2.65824841093958
"49",49,"Costa Rica","CRI",2000,1.9739069724111
"50",50,"Cote d'Ivoire","CIV",2000,2.32817138721433
"51",51,"Croatia","HRV",2000,-2.85097260126899
"52",52,"Cuba","CUB",2000,0.326896007621525
"53",53,"Curacao","CUW",2000,-4.07538613162288
"54",54,"Cyprus","CYP",2000,1.90461766621283
"55",55,"Czech Republic","CZE",2000,-0.280414108078884
"56",56,"Dem. People's Rep. Korea","PRK",2000,0.872751473182946
"57",57,"Denmark","DNK",2000,0.334233618829261
"58",58,"Djibouti","DJI",2000,1.66203709476641
"59",59,"Dominica","DMA",2000,-0.319528001278609
"60",60,"Dominican Republic","DOM",2000,1.57146655159218
"61",61,"East Asia & Pacific","EAP",2000,1.00385547636684
"62",62,"East Asia & Pacific (all income levels)","EAS",2000,0.948119053116997
"63",63,"Ecuador","ECU",2000,1.83728637652126
"64",64,"Egypt","EGY",2000,1.80447570394784
"65",65,"El Salvador","SLV",2000,0.6243992236814
"66",66,"Equatorial Guinea","GNQ",2000,3.36141154238609
"67",67,"Eritrea","ERI",2000,3.02974638990034
"68",68,"Estonia","EST",2000,1.17836692855029
"69",69,"Ethiopia","ETH",2000,2.89109011745351
"70",70,"Euro area","EMU",2000,0.377715561193725
"71",71,"Europe & Central Asia","ECA",2000,0.311964224080882
"72",72,"Europe & Central Asia (all income levels)","ECS",2000,0.126473504194152
"73",73,"European Union","EUU",2000,0.163367539542577
"74",74,"Faeroe Islands","FRO",2000,1.38399272205444
"75",75,"Fiji","FJI",2000,0.584652750821437
"76",76,"Finland","FIN",2000,0.2076065154133
"77",77,"Fragile and conflict affected situations","FCS",2000,2.44030537327168
"78",78,"France","FRA",2000,0.684930929367001
"79",79,"French Polynesia","PYF",2000,1.83364947647706
"80",80,"Gabon","GAB",2000,2.39423752296208
"81",81,"Gambia, The","GMB",2000,2.96852685983661
"82",82,"Georgia","GEO",2000,-0.771072946015597
"83",83,"Germany","DEU",2000,0.135431600393084
"84",84,"Ghana","GHA",2000,2.36815617991214
"85",85,"Greece","GRC",2000,0.320201197780994
"86",86,"Greenland","GRL",2000,0.178094437099469
"87",87,"Grenada","GRD",2000,0.176301748109612
"88",88,"Guam","GUM",2000,0.890464013926363
"89",89,"Guatemala","GTM",2000,2.42328388124999
"90",90,"Guinea","GIN",2000,1.74055339879717
"91",91,"Guinea-Bissau","GNB",2000,2.13039646929994
"92",92,"Guyana","GUY",2000,0.273744156232449
"93",93,"Haiti","HTI",2000,1.70830429680389
"94",94,"Heavily indebted poor countries (HIPC)","HPC",2000,2.80724899106647
"95",95,"High income","HIC",2000,0.551504929476437
"96",96,"High income: nonOECD","NOC",2000,0.458936567389486
"97",97,"High income: OECD","OEC",2000,0.579117108092774
"98",98,"Honduras","HND",2000,2.08050901649661
"99",99,"Hong Kong SAR, China","HKG",2000,0.881594075853745
"100",100,"Hungary","HUN",2000,-0.259764908288633
"101",101,"Iceland","ISL",2000,1.36919283329812
"102",102,"India","IND",2000,1.7721144435853
"103",103,"Indonesia","IDN",2000,1.37863001869124
"104",104,"Iran","IRN",2000,1.63778678505771
"105",105,"Iraq","IRQ",2000,2.99778492349905
"106",106,"Ireland","IRL",2000,1.33304266586712
"107",107,"Isle of Man","IMY",2000,1.21427958252696
"108",108,"Israel","ISR",2000,2.64233191305756
"109",109,"Italy","ITA",2000,0.045303631138613
"110",110,"Jamaica","JAM",2000,0.584856106136206
"111",111,"Japan","JPN",2000,0.167275578113187
"112",112,"Jordan","JOR",2000,2.46926125903714
"113",113,"Kazakhstan","KAZ",2000,-0.300549816049332
"114",114,"Kenya","KEN",2000,2.49195436628112
"115",115,"Kiribati","KIR",2000,1.71714450680799
"116",116,"Korea","KOR",2000,0.836180864297766
"117",117,"Kosovo","KSV",2000,-3.58212764518173
"118",118,"Kuwait","KWT",2000,4.03573807242671
"119",119,"Kyrgyz Republic","KGZ",2000,1.19112592398474
"120",120,"Lao PDR","LAO",2000,1.6354982297455
"121",121,"Latin America & Caribbean","LAC",2000,1.5264951340249
"122",122,"Latin America & Caribbean (all income levels)","LCN",2000,1.48562484220864
"123",123,"Latvia","LVA",2000,-0.963935407092365
"124",124,"Least developed countries: UN classification","LDC",2000,2.5428568084636
"125",125,"Lebanon","LBN",2000,2.46315628927655
"126",126,"Lesotho","LSO",2000,0.897984743360904
"127",127,"Liberia","LBR",2000,5.33390129190901
"128",128,"Libya","LBY",2000,1.73589910707754
"129",129,"Liechtenstein","LIE",2000,1.32780778795212
"130",130,"Lithuania","LTU",2000,-0.703385440488978
"131",131,"Low & middle income","LMY",2000,1.54334165587493
"132",132,"Low income","LIC",2000,2.72697751916608
"133",133,"Lower middle income","LMC",2000,1.77033605334015
"134",134,"Luxembourg","LUX",2000,1.34408299573143
"135",135,"Macao SAR, China","MAC",2000,1.50675559111527
"136",136,"Macedonia","MKD",2000,0.632647016014268
"137",137,"Madagascar","MDG",2000,3.10912415883058
"138",138,"Malawi","MWI",2000,2.81491855186811
"139",139,"Malaysia","MYS",2000,2.25475680320665
"140",140,"Maldives","MDV",2000,1.79899736111546
"141",141,"Mali","MLI",2000,2.84991359097367
"142",142,"Malta","MLT",2000,0.52660551312898
"143",143,"Marshall Islands","MHL",2000,0.163089917861168
"144",144,"Mauritania","MRT",2000,3.05627724991019
"145",145,"Mauritius","MUS",2000,0.982676166064297
"146",146,"Mexico","MEX",2000,1.51125629236518
"147",147,"Micronesia","FSM",2000,-0.351239454569137
"148",148,"Middle East & North Africa","MNA",2000,1.8485554731418
